#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Milton?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years),
,The Road To Dawn,Jared A. Brock,Civil War,Yes,Yes,English,264,Chicago,Yes,Rec,Yes,!,!,"November 15, 2019","November 30, 2019",15,0.04109589041,
,On Gold Mountain,Lisa See,China,No,Yes,English,385,Chicago,Yes,Rec,Yes,Yes,!,"May 7, 2021",N/A,N/A,N/A,
,Son Of The Revolution,Liang Heng & Judith Shapiro,China,Yes,No,English,292,Chicago,No,!,Yes,Yes,No,"October 1, 2019","October 31, 2019",30,0.08219178082,
,C++,Tony Gaddis,Textbook,Yes,No,English,1283,Boston,No,!,Yes,Yes,No,"February 1, 2019","February 1, 2019",0,0,
1,The Witch King ,H.E. Edgmon,Gay Fantasy,No,Yes,English,380,Boston,Yes,Rec,Yes,Yes,Yes,"July 8, 2023",N/A,N/A,N/A,
,Chasing The Sun,Richard Cohen,Science,No,No,English,511,Chicago,No,!,Yes,Yes,No,"July 1, 2019",N/A,N/A,N/A,
,Leonard,Willian Shatner & David Fisher,Star Trek,No,Yes,English,275,Chicago,Yes,Rec,Yes,Yes,!,"July 20, 2019",N/A,N/A,N/A,
,Reforged,Seth Haddon,Gay Fantasy,Yes,Yes,English,386,Boston,Yes,Rec,Rec,Rec,Rec,"December 3, 2022","September 17, 2023",288,0.7890410959,
,Of Fire And Stars,Audrey Coulthurst,Gay Fantasy,No,Yes,English,389,Boston,Yes,Rec,Yes,Yes,Rec,"November 4, 2023",N/A,N/A,N/A,
,The Gathering Dark,Tori Bovalino,Gay Fantasy,Yes,No,English,259,Boston,No,No,No,No,No,"December 11, 2022","June 23, 2023",194,0.5315068493,
1,A Strange And Stubborn Endurance,Foz Meadows ,Gay Fantasy,Yes,Yes,English,528,Boston,Yes,Rec,Yes,Yes,Rec,"April 27, 2023","June 1, 2023",35,0.09589041096,
,The Lemon Tree,Sandy Tolan,Modern History,No,Yes,English,270,Chicago,Yes,No,No,No,No,"March 3, 2022",N/A,N/A,N/A,
5,The Grandmaster Of Demonic Cultivation Vol 5,Mo Xiang Tong Xiu,Danmei,Yes,No,English,425,Boston,No,No,No,No,No,"May 2, 2023","September 14, 2023",135,0.3698630137,
2,The Grandmaster Of Demonic Cultivation Vol 2,Mo Xiang Tong Xiu,Danmei,Yes,No,English,351,Boston,No,No,No,No,No,"May 18, 2022","June 27, 2022",40,0.1095890411,
,An Indigenous Peoples' History Of The United States,Roxanne Dunbar-Ortiz,American History,No,Yes,English,236,Boston,Yes,Rec,Yes,Yes,!,"December 25, 2022",N/A,N/A,N/A,
,Frankenstein,Mary Shelley,Classic,Yes,Yes,English,282,Chicago,Yes!,Rec,Yes,Yes,Yes,"July 1, 2019","July 1, 2019",0,0,
,Gods of The Upper Air,Charles King,Anthropology,Yes,Yes,English,345,Chicago,Yes,Rec,Yes,Yes,!,"January 13, 2020","February 8, 2020",26,0.07123287671,
,Apollo's Angels,Jennifer Homans,Dance,No,Yes,English,550,Chicago,Yes,Rec,Rec,Yes,!,"July 1, 2019",N/A,N/A,N/A,
,Beyond The River,Ann Hagedorn,Civil War,No,No,English,279,Chicago,No,!,Yes,Yes,No,"November 15, 2019",N/A,N/A,N/A,
1,The Magpie Lord,K.J. Charles,Gay Fantasy,Yes,Yes,English,192,Boston,Yes!,No,No,No,No,"April 28, 2023","May 21, 2023",23,0.06301369863,
,Immortal Longings,Chloe Gong,Science Fiction,No,Yes,English,365,Boston,Yes,Rec,Yes,Yes,Rec,"August 31, 2023",N/A,N/A,N/A,
,Cries From The Dark Side Of The Moon,Lauren M. White,Poetry,No,No,English,50,Boston,No,!,Yes,Yes,No,"February 28, 2022",N/A,N/A,N/A,
1,The City We Became,N.K. Jemisin,Fantasy,Yes,Yes,English,434,Boston,Yes!,Yes,Yes,Yes,Yes,"July 2, 2022","November 9, 2023",495,1.356164384,
,Nobody's Victim,Carrie Goldberg,Gender Studies,Yes,Yes,English,219,Chicago,Yes,Rec,Yes,Yes,!,"August 20, 2021","August 20, 2021",0,0,
,Anthropology Explored,Many,Anthropology,Yes,No,English,449,Chicago,No,!,Yes,Yes,No,"July 1, 2019",,-43647,-119.5808219,
,The Fox And The Dryad,Kellen Graves,Gay Fantasy,Yes,No,English,393,Boston,No,No,No,No,No,"May 14, 2023","July 5, 2023",52,0.1424657534,
,The Map Of Salt And Stars,Zeyn Joukhadar,Gay Fantasy,Yes,Yes,English,352,Boston,Yes,Rec,Yes,Yes,Rec,"July 2, 2022","February 2, 2024",580,1.589041096,
2,The Fox,Sherwood Smith,Fantasy,No,No,English,772,Chicago,No,No,No,No,No,"June 1, 2021",N/A,N/A,N/A,
,Nimona,N.D. Stevenson,Gay Fantasy,No,No,English,262,Boston,No,!,Yes,Yes,No,"July 27, 2023",N/A,N/A,N/A,
,When America First Met China,Eric Jay Dolon,China,Yes,Yes,English,313,Boston,Yes,No,No,No,No,"July 2, 2022","April 27, 2023",299,0.8191780822,
1,Neon Gods,Katee Robert,Gay Fiction,Yes,Yes,English,377,Boston,Yes,Rec,Yes,Yes,!,"May 29, 2022","April 18, 2023",324,0.8876712329,
,The New Jim Crow,Michelle Alexander,Race Relations,No,Yes,English,261,Chicago,Yes,Yes,Yes,Yes,Yes,"July 18, 2022",N/A,N/A,N/A,
,China Mountain Zhang,Maureen F. McHugh,Gay Science Fiction,Yes,No,English,311,Chicago,No,!,Yes,Yes,No,"July 7, 2021","September 9, 2021",64,0.1753424658,
,The Lathe Of Heaven,Ursula K. Le Guin,Fantasy,No,Yes,English,184,Boston,Yes,Rec,Rec,Yes,Rec,"May 18, 2022",N/A,N/A,N/A,
,This Land Is Their Land,David J. Silverman,Native Americans,No,Yes,English,427,Boston,Yes,Rec,Yes,Rec,!,"January 4, 2023",N/A,N/A,N/A,
2,Jade War,Fonda Lee,Fantasy,Yes,Yes,English,587,Boston,Yes,Rec,Yes,Yes,Rec,"June 29, 2023","October 19, 2023",112,0.3068493151,
1,Requiem For Immortals,Lee Winter,Gay Fiction,No,Yes,English,263,Boston,Yes,,,,,"January 9, 2024",N/A,N/A,N/A,
,Mightier Than The Sword,David S. Reynolds,Civil War,No,Yes,English,273,Chicago,Yes,!,Yes,Yes,No,"November 15, 2019",N/A,N/A,N/A,
,Young Mungo,Douglas Stuart,Gay Fiction,No,Yes,English,390,Boston,Yes,Rec,Yes,Yes,Yee,"November 21, 2023",N/A,N/A,N/A,
2,The Merciless Ones,Namina Forna,Fantasy,Yes,Yes,English,453,Chicago,Yes,Rec,Yes,Yes,Yes,"July 2, 2022",N/A,N/A,N/A,
,Fun Home,Alison Bechdel,Memior,Yes,No,English,232,Boston,No,!,Yes,Yes,No,"June 2, 2022","March 26, 2023",297,0.8136986301,
1,Flower Net,Lisa See,Historical Fiction,No,Yes,English,333,Chicago,Yes,Rec,Rec,Yes,!,"May 3, 2022",N/A,N/A,N/A,
,Book Of The Hopi,Frank Waters,Native Americans,No,No,English,337,Chicago,No,!,Yes,Yes,No,"October 17, 2019",N/A,N/A,N/A,
3,The Last Hero,Linden A. Lewis,Gay Science Fiction,No,Yes,English,616,Boston,Yes,Rec,Rec,Rec,Rec,"August 1, 2023",N/A,N/A,N/A,
,Tipping The Velvet,Sarah Waters,Gay Fiction,No,Yes,English,472,Boston,Yes!,Rec,Yes,Yes,Yes,"July 5, 2023",N/A,N/A,N/A,
,Teach with Your Heart,Erin Gruwell,Memior,No,No,English,265,Boston,No,!,Yes,Yes,No,"March 31, 2020",N/A,N/A,N/A,
,Song of Solomon,Toni Morrison,Classic,Yes,Yes,English,337,Chicago,Yes,Rec,Yes,Yes,!,"April 25, 2020","February 26, 2021",307,0.8410958904,
3,The Scum Villain's Self-Saving System Vol 3,Mo Xiang Tong Xiu,Danmei,Yes,No,English,343,Boston,No,No,No,No,No,"July 26, 2022","May 9, 2023",287,0.7863013699,
,Underland,Robert Macfarlane,Science,Yes,Yes,English,425,Chicago,Yes!,Rec,Yes,Yes,Yes,"January 13, 2020","May 14, 2020",122,0.3342465753,
,A Guide To The Collection Of The Museum Of Fine Arts,Museum Of Fine Arts,Art,No,No,English,425,Boston,No,!,Yes,Yes,No,"January 23, 2023",N/A,N/A,N/A,
,Equality For Women = Prosperity For All,Augusto Lopez-Claros & Bahiyyih Nakhjavani,Gender Studies,No,Yes,English,253,Chicago,Yes,Rec,Rec,Yes,Rec,"January 13, 2020",N/A,N/A,N/A,
1,The Good Earth,Pearl S. Buck,Historical Fiction,No,Yes,English,418,Boston,Yes,Rec,Yes,Yes,Yes,"January 4, 2021",N/A,N/A,N/A,
1,American Gods,Neil Gaiman,Fantasy,No,Yes,English,541,Boston,Yes,Yes,Yes,Yes,Yes,"February 20, 2021",N/A,N/A,N/A,
2,A Venom Dark And Sweet,Judy I. Lin,Fantasy,Yes,Yes,English,331,Boston,Yes,Rec,Yes,Yes,Yes,"March 18, 2023","April 30, 2023",43,0.1178082192,
,Haroun And The Sea Of Stories,Salman Rushdie,Fiction,Yes,Yes,English,211,Boston,Yes,Rec,Yes,Yes,Yes,"August 12, 2023","September 18, 2023",37,0.101369863,
,Idiot's Guide To Tiny House,Gabriella & Andrew Morrison,Practical Skills,Yes,No,English,272,Chicago,No,!,Yes,Yes,No,"January 1, 2019","January 1, 2019",0,0,
,A Lady For A Duke,Alexis Hall,Gay Fiction,Yes,Yes,English,449,Boston,Yes,Rec,Yes,Yes,Yes,"July 13, 2022","June 3, 2023",325,0.8904109589,
1,Pet,Akwaeke Emezi,Gay Fantasy,Yes,Yes,English,203,Boston,Yes,Rec,Yes,Yes,Yes,"January 5, 2024","January 9, 2024",4,0.01095890411,
,Founding Mothers,Cokie Roberts,American History,No,Yes,English,278,Chicago,Yes,Rec,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A,
,The Forest Demands Its Due,Kosoko Jackson,Gay Fantasy,Yes,Yes,English,418,Boston,Yes,Rec,Yes,Rec,Rec,"October 3, 2023","January 31, 2024",120,0.3287671233,
,Historians On Hamilton,Renee C. Romano & Claire Bond Potter,American History,No,No,English,350,Boston,No,!,Yes,Yes,No,"August 12, 2023",N/A,N/A,N/A,
,Did That Just Happen?!,Dr. Stephanie Pinder-Amaker & Dr. Lauren Wadsworth,Practical Skills,Yes,Yes,English,180,Boston,Yes!,!,Yes,Yes,No,"August 19, 2022",N/A,N/A,N/A,
,Devolver Al Remitente,Julia Alvarez,Fiction,No,Yes,Spanish,349,Chicago,Yes,Yes,Rec,Yes,Yes,"March 1, 2020",N/A,N/A,N/A,
,Edgar Allan Poe Classic Stories,Edgar Allan Poe,Classic,Yes,Yes,English,348,Chicago,Yes,!,Yes,Yes,No,"February 20, 2021","October 31, 2021",253,0.6931506849,
,A Long Way Home,Saroo Brierley,Memior,No,Yes,English,273,Boston,Yes!,Rec,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A,
,We Deserve Monuments,Jas Hammonds,Gay Fiction,No,Yes,English,370,Boston,Yes,Yes,Yes,Yes,Yes,"August 12, 2023",N/A,N/A,N/A,
,The Spells We Cast,Jason June,Gay Fantasy,Yes,Yes,English,342,Boston,Yes,Rec,Rec,Yes,Rec,"October 11, 2023","December 21, 2023",71,0.1945205479,
9,Most Ardently,Gabe Cole Novoa,Gay Fiction,No,Yes,English,292,Boston,Yes,Rec,Yes,Rec,Rec,"January 16, 2024",N/A,N/A,N/A,
,Sapiens,Yuval Noah Harari,Anthropology,Yes,Yes,English,416,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","July 31, 2019",30,0.08219178082,
1,The Atlas Six,Olivie Blake,Gay Fantasy,Yes,Yes,English,373,Boston,Yes,Yes,Yes,Yes,Yes,"November 22, 2022","February 16, 2024",451,1.235616438,
,Dead Silence,S.A. Barnes,Horror,No,Yes,English,339,Boston,Yes,Yes,Yes,Yes,Rec,"July 19, 2023",N/A,N/A,N/A,
,"Sex, Death, And Hierarchy In A Chinese City",William R. Jankowiak,Anthropology,No,No,English,306,Chicago,No,!,Yes,Yes,No,"July 28, 2022",N/A,N/A,N/A,
,Museum Of Lost Art,Noah Charney,Art,Yes,No,English,280,Chicago,No,!,Yes,Yes,No,"July 1, 2019",,-43647,-119.5808219,
,Black Water Sister,Zen Cho,Gay Fantasy,Yes,Yes,English,367,Boston,Yes,Rec,Yes,Yes,Yes,"July 13, 2022","January 19, 2024",555,1.520547945,
1,In The Dark Vol 1,Jin Shisi Chai,Danmei,No,No,English,392,Boston,No,!,Yes,Yes,No,"October 23, 2023",N/A,N/A,N/A,
,Pharaoh's People,T.G.H. James,Egyptian Studies,No,No,English,267,Chicago,No,!,Yes,Yes,No,"January 1, 2016",N/A,N/A,N/A,
,Once And Future Witches,Alix E. Harrow,Gay Fantasy,No,Yes,English,513,Boston,Yes,Yes,Yes,Yes,Yes,"February 25, 2023",N/A,N/A,N/A,
1,The Princess Will Save You,Sarah Henning,Fantasy,No,Yes,English,348,Boston,Yes,Rec,Yes,Yes,Rec,"August 12, 2023",N/A,N/A,N/A,
,Half Of A Yellow Sun,Chimamanda Ngozi Adichie,Historical Fiction,No,Yes,English,433,Chicago,Yes,Yes,Yes,Yes,Yes,"July 28, 2022",N/A,N/A,N/A,
